id,topic
0,18
1,13
2,38
3,13
4,102
5,1
6,173
7,18
8,65
9,53
10,20
11,0
12,76
13,110
14,21
15,98
16,107
17,2
18,138
19,2
20,0
21,3
22,2
23,11
24,0
25,263
26,0
27,101
28,101
29,2
30,68
31,46
32,67
33,0
34,15
35,17
36,3
37,4
38,34
39,6
40,13
41,3
42,2
43,1
44,165
45,4
46,0
47,11
48,63
49,19
50,0
51,113
52,36
53,17
54,2
55,47
56,97
57,1
58,0
59,284
60,8
61,5
62,251
63,154
64,67
65,51
66,39
67,3
68,4
69,14
70,185
71,141
72,40
73,56
74,234
75,75
76,0
77,16
78,3
79,0
80,208
81,38
82,4
83,18
84,3
85,8
86,8
87,4
88,1
89,4
90,274
91,10
92,167
93,3
94,0
95,121
96,76
97,4
98,0
99,104
100,121
101,109
102,46
103,5
104,4
105,207
106,10
107,185
108,1
109,2
110,17
111,100
112,76
113,134
114,83
115,267
116,0
117,0
118,223
119,1
120,51
121,239
122,2
123,0
124,7
125,220
126,0
127,0
128,32
129,0
130,7
131,179
132,44
133,5
134,86
135,50
136,17
137,22
138,103
139,5
140,49
141,1
142,279
143,16
144,1
145,3
146,20
147,213
148,59
149,24
150,2
151,24
152,66
153,108
154,0
155,1
156,21
157,92
158,191
159,70
160,1
161,1
162,1
163,2
164,85
165,1
166,0
167,151
168,4
169,43
170,3
171,4
172,2
173,64
174,16
175,0
176,57
177,154
178,5
179,4
180,154
181,1
182,13
183,0
184,11
185,102
186,1
187,4
188,207
189,117
190,59
191,134
192,159
193,2
194,5
195,3
196,50
197,0
198,1
199,3
200,73
201,36
202,165
203,13
204,42
205,84
206,3
207,8
208,94
209,2
210,76
211,6
212,174
213,293
214,1
215,125
216,4
217,1
218,181
219,132
220,23
221,0
222,154
223,1
224,84
225,3
226,1
227,173
228,3
229,24
230,200
231,1
232,15
233,0
234,2
235,85
236,21
237,159
238,4
239,19
240,0
241,5
242,0
243,7
244,1
245,31
246,1
247,3
248,297
249,31
250,72
251,3
252,9
253,157
254,0
255,0
256,36
257,0
258,21
259,0
260,38
261,0
262,0
263,55
264,3
265,291
266,13
267,68
268,14
269,11
270,11
271,13
272,0
273,49
274,4
275,37
276,28
277,149
278,2
279,137
280,0
281,0
282,34
283,8
284,52
285,0
286,16
287,7
288,1
289,50
290,36
291,3
292,14
293,1
294,2
295,163
296,2
297,10
298,0
299,1
300,30
301,137
302,37
303,2
304,39
305,1
306,217
307,87
308,82
309,29
310,1
311,3
312,115
313,0
314,0
315,122
316,4
317,2
318,87
319,8
320,153
321,33
322,0
323,26
324,2
325,39
326,1
327,1
328,48
329,0
330,21
331,0
332,0
333,49
334,21
335,1
336,35
337,0
338,49
339,1
340,45
341,244
342,14
343,19
344,1
345,83
346,0
347,48
348,149
349,138
350,2
351,279
352,5
353,14
354,1
355,3
356,5
357,14
358,0
359,38
360,212
361,0
362,222
363,0
364,186
365,19
366,2
367,37
368,0
369,10
370,1
371,1
372,0
373,39
374,8
375,0
376,2
377,118
378,92
379,2
380,80
381,0
382,2
383,27
384,212
385,93
386,0
387,0
388,1
389,214
390,46
391,170
392,29
393,236
394,29
395,259
396,20
397,1
398,5
399,1
400,238
401,92
402,8
403,0
404,143
405,14
406,4
407,124
408,56
409,2
410,27
411,18
412,0
413,3
414,8
415,164
416,5
417,60
418,20
419,157
420,128
421,0
422,280
423,89
424,1
425,4
426,38
427,12
428,21
429,61
430,35
431,7
432,2
433,43
434,21
435,1
436,0
437,1
438,0
439,0
440,0
441,201
442,52
443,34
444,39
445,7
446,0
447,260
448,21
449,4
