id,topic
0,0
1,11
2,0
3,178
4,5
5,2
6,26
7,188
8,60
9,1
10,296
11,15
12,241
13,5
14,1
15,25
16,54
17,0
18,2
19,21
20,76
21,46
22,5
23,20
24,3
25,15
26,0
27,2
28,1
29,1
30,87
31,33
32,2
33,9
34,155
35,89
36,16
37,113
38,216
39,1
40,168
41,14
42,78
43,18
44,8
45,207
46,0
47,1
48,2
49,133
50,117
51,8
52,1
53,8
54,47
55,0
56,23
57,206
58,16
59,18
60,7
61,17
62,26
63,87
64,2
65,136
66,40
67,19
68,24
69,100
70,11
71,3
72,11
73,6
74,0
75,0
76,5
77,100
78,0
79,1
80,0
81,8
82,14
83,7
84,2
85,54
86,12
87,46
88,38
89,6
90,1
91,45
92,198
93,3
94,43
95,69
96,82
97,0
98,0
99,6
100,3
101,62
102,140
103,234
104,26
105,5
106,0
107,169
108,0
109,13
110,19
111,71
112,39
113,2
114,0
115,100
116,6
117,92
118,171
119,0
120,64
121,1
122,34
123,1
124,0
125,5
126,0
127,4
128,91
129,5
130,227
131,1
132,11
133,19
134,61
135,30
136,27
137,102
138,1
139,42
140,13
141,1
142,2
143,30
144,158
145,5
146,7
147,20
148,0
149,46
150,1
151,12
152,4
153,4
154,0
155,15
156,2
157,0
158,56
159,30
160,1
161,33
162,13
163,2
164,1
165,39
166,174
167,169
168,172
169,99
170,55
171,0
172,9
173,2
174,9
175,14
176,1
177,33
178,1
179,9
180,33
181,4
182,1
183,21
184,19
185,2
186,36
187,2
188,29
189,31
190,85
191,69
192,0
193,3
194,7
195,20
196,0
197,96
198,2
199,254
200,0
201,35
202,26
203,2
204,5
205,0
206,27
207,202
208,10
209,202
210,1
211,232
212,41
213,5
214,0
215,139
216,189
217,46
218,2
219,205
220,3
221,0
222,8
223,146
224,1
225,26
226,73
227,0
228,1
229,0
230,21
231,6
232,2
233,3
234,19
235,195
236,1
237,0
238,20
239,63
240,12
241,9
242,1
243,32
244,0
245,0
246,3
247,98
248,52
249,36
250,43
251,8
252,270
253,0
254,0
255,141
256,0
257,155
258,157
259,54
260,284
261,7
262,110
263,82
264,1
265,0
266,1
267,0
268,0
269,41
270,3
271,25
272,5
273,5
274,5
275,232
276,8
277,20
278,20
279,3
280,111
281,0
282,296
283,2
284,44
285,19
286,1
287,0
288,5
289,161
290,33
291,1
292,11
293,8
294,41
295,3
296,44
297,240
298,91
299,178
300,0
301,1
302,15
303,1
304,0
305,62
306,35
307,9
308,0
309,0
310,9
311,0
312,0
313,20
314,8
315,127
316,1
317,19
318,1
319,26
320,19
321,0
322,182
323,40
324,6
325,3
326,187
327,0
328,12
329,18
330,70
331,3
332,132
333,3
334,1
335,55
336,8
337,11
338,46
339,254
340,285
341,59
342,1
343,1
344,1
345,298
346,2
347,3
348,286
349,289
350,0
351,3
352,62
353,299
354,0
355,12
356,1
357,1
358,35
359,4
360,17
361,119
362,0
363,0
364,13
365,151
366,54
367,50
368,205
369,67
370,7
371,9
372,31
373,95
374,3
375,3
376,1
377,3
378,13
379,41
380,4
381,8
382,44
383,86
384,0
385,6
386,81
387,2
388,0
389,2
390,252
391,16
392,1
393,0
394,281
395,50
396,4
397,0
398,24
399,3
400,67
401,4
402,0
403,6
404,1
405,4
406,76
407,28
408,150
409,1
410,92
411,2
412,1
413,117
414,3
415,281
416,31
417,30
418,0
419,7
420,29
421,9
422,63
423,7
424,0
425,13
426,37
427,1
428,0
429,18
430,0
431,2
432,11
433,0
434,8
435,19
436,61
437,47
438,18
439,3
440,27
441,0
442,250
443,65
444,5
445,10
446,116
447,1
448,272
449,1
450,0
451,40
452,11
453,32
454,3
455,24
456,5
457,265
458,3
459,0
460,5
461,44
462,0
463,22
464,14
465,12
466,17
467,11
468,129
469,17
470,237
471,1
472,76
473,4
474,262
475,1
476,3
477,0
478,103
479,20
480,268
481,0
482,108
483,258
484,54
485,1
486,1
487,132
488,130
489,89
490,3
491,97
492,74
493,296
494,33
495,82
496,9
497,2
498,64
499,3
