id,topic
0,328
1,0
2,1
3,0
4,0
5,103
6,0
7,0
8,7
9,12
10,0
11,520
12,1
13,3
14,2
15,4
16,360
17,59
18,129
19,402
20,10
21,1
22,267
23,93
24,8
25,13
26,174
27,329
28,6
29,75
30,0
31,132
32,0
33,0
34,9
35,0
36,57
37,198
38,18
39,2
40,391
41,32
42,92
43,293
44,0
45,0
46,0
47,355
48,75
49,45
50,17
51,71
52,3
53,376
54,16
55,57
56,351
57,0
58,0
59,2
60,236
61,33
62,3
63,563
64,4
65,0
66,68
67,55
68,401
69,0
70,287
71,424
72,15
73,119
74,0
75,295
76,45
77,29
78,13
79,21
80,421
81,43
82,151
83,26
84,265
85,281
86,31
87,577
88,69
89,6
90,1
91,29
92,59
93,273
94,554
95,287
96,0
97,11
98,0
99,2
100,34
101,13
102,12
103,36
104,1
105,10
106,8
107,283
108,3
109,120
110,15
111,2
112,5
113,558
114,309
115,19
116,545
117,0
118,7
119,6
120,51
121,43
122,19
123,8
124,6
125,61
126,452
127,50
128,1
129,0
130,14
131,40
132,2
133,33
134,0
135,15
136,21
137,45
138,0
139,0
140,177
141,15
142,2
143,10
144,40
145,36
146,81
147,296
148,0
149,6
150,19
151,19
152,137
153,1
154,369
155,43
156,111
157,240
158,4
159,42
160,235
161,74
162,27
163,308
164,10
165,539
166,9
167,316
168,51
169,80
170,1
171,27
172,7
173,0
174,18
175,32
176,78
177,66
178,262
179,6
180,69
181,39
182,471
183,0
184,79
185,25
186,28
187,2
188,2
189,0
190,212
191,318
192,16
193,0
194,0
195,103
196,2
197,67
198,453
199,2
200,0
201,1
202,44
203,4
204,3
205,1
206,0
207,41
208,64
209,30
210,169
211,48
212,23
213,0
214,5
215,377
216,0
217,89
218,276
219,25
220,266
221,0
222,23
223,89
224,2
225,284
226,49
227,305
228,13
229,0
230,335
231,239
232,3
233,102
234,5
235,3
236,259
237,0
238,52
239,58
240,3
241,9
242,3
243,10
244,40
245,324
246,174
247,0
248,430
249,499
250,108
251,1
252,470
253,343
254,2
255,2
256,44
257,75
258,11
259,0
260,49
261,2
262,291
263,0
264,6
265,8
266,0
267,91
268,1
269,136
270,0
271,22
272,0
273,0
274,0
275,0
276,35
277,110
278,289
279,172
280,0
281,52
282,0
283,4
284,545
285,2
286,0
287,103
288,457
289,178
290,128
291,8
292,191
293,8
294,16
295,0
296,5
297,121
298,401
299,0
300,33
301,155
302,4
303,245
304,0
305,5
306,407
307,3
308,0
309,587
310,3
311,24
312,110
313,169
314,0
315,32
316,1
317,55
318,150
319,1
320,271
321,311
322,0
323,2
324,0
325,1
326,3
327,188
328,20
329,360
330,8
331,1
332,6
333,5
334,91
335,4
336,0
337,0
338,129
339,8
340,491
341,4
342,13
343,385
344,0
345,1
346,62
347,2
348,26
349,1
350,414
351,25
352,433
353,8
354,259
355,19
356,0
357,3
358,327
359,242
360,14
361,42
362,0
363,152
364,24
365,101
366,2
367,19
368,154
369,4
370,7
371,45
372,27
373,0
374,232
375,1
376,4
377,26
378,94
379,2
380,106
381,31
382,35
383,535
384,5
385,75
386,2
387,5
388,4
389,59
390,133
391,10
392,2
393,46
394,23
395,0
396,0
397,83
398,0
399,47
400,0
401,3
402,48
403,127
404,1
405,19
406,578
407,9
408,375
409,136
410,11
411,323
412,1
413,0
414,14
415,0
416,14
417,10
418,45
419,199
420,3
421,11
422,2
