id,topic
0,52
1,82
2,0
3,4
4,0
5,0
6,5
7,4
8,52
9,20
10,11
11,32
12,0
13,2
14,31
15,54
16,0
17,16
18,36
19,92
20,23
21,5
22,8
23,0
24,8
25,0
26,0
27,11
28,9
29,5
30,0
31,6
32,4
33,0
34,33
35,4
36,7
37,16
38,7
39,0
40,52
41,60
42,14
43,17
44,0
45,0
46,4
47,0
48,96
49,0
50,78
51,2
52,11
53,0
54,0
55,68
56,1
57,1
58,1
59,50
60,30
61,0
62,0
63,5
64,0
65,4
66,0
67,0
68,75
69,2
70,3
71,91
72,35
73,8
74,0
75,14
76,8
77,2
78,0
79,8
80,40
81,1
82,1
83,0
84,13
85,2
86,11
87,0
88,1
89,0
90,9
91,4
92,1
93,1
94,1
95,6
96,0
97,49
98,0
99,3
100,3
101,2
102,0
103,5
104,9
105,2
106,32
107,13
108,0
109,13
110,12
111,10
112,7
113,53
114,10
115,8
116,6
117,34
118,9
119,0
120,8
121,34
122,29
123,9
124,6
125,46
126,2
127,43
128,4
129,39
130,10
131,20
132,1
133,0
134,17
135,1
136,4
137,35
138,0
139,5
140,1
141,0
142,0
143,12
144,6
145,0
146,1
147,6
148,18
149,84
150,2
151,68
152,11
153,0
154,67
155,10
156,1
157,1
158,0
159,37
160,32
161,2
162,51
163,23
164,4
165,2
166,15
167,9
168,1
169,7
170,11
171,25
172,2
173,4
174,3
175,45
176,4
177,1
178,23
179,25
180,4
181,66
182,79
183,4
184,0
185,0
186,45
187,28
188,98
189,40
190,22
191,3
192,3
193,0
194,1
195,0
196,18
197,38
198,5
199,47
200,11
201,30
202,59
203,0
204,1
205,98
206,90
207,0
208,17
209,0
210,9
211,1
212,34
213,57
214,11
215,0
216,0
217,51
218,0
219,14
220,1
221,19
222,78
223,24
224,0
225,4
226,80
227,44
228,16
229,6
230,0
231,3
232,19
233,36
234,19
235,0
236,25
237,15
238,0
239,0
240,0
241,8
242,0
243,8
244,5
245,3
246,0
247,25
248,2
249,0
250,0
251,4
252,11
253,21
254,74
255,0
256,5
257,83
258,2
259,17
260,1
261,47
262,36
263,0
264,18
265,0
266,19
267,57
268,0
269,2
270,6
271,1
272,27
273,0
274,31
275,1
276,26
277,45
278,2
279,23
280,34
281,5
282,7
283,57
284,0
285,5
286,7
287,0
288,90
289,0
290,33
291,69
292,6
293,2
294,3
295,0
296,55
297,1
298,36
299,0
300,4
301,99
302,3
303,1
304,8
305,1
306,68
307,5
308,40
309,7
310,39
311,2
312,2
313,10
314,3
315,25
316,5
317,2
318,25
319,81
320,1
321,15
322,2
323,1
324,19
325,55
326,0
327,0
328,10
329,2
330,87
331,2
332,38
333,0
334,0
335,70
336,5
337,0
338,7
339,0
340,0
341,0
342,17
343,0
344,15
345,2
346,3
347,0
348,1
349,57
350,11
351,0
